,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504
accommodates,4.878471616659062,0.013875645745849029,,,,,,,,,,
availability_30,3.297423621363593,0.028890854010515908,0.024708667419652025,0.027443163657288386,0.029056251905813568,5.477389569300073,0.05290108856599195,0.03751646558925224,0.06205253850298316,0.009946271175782187,0.008452734529540632,0.024562980788212525
availability_365,0.2035138200870519,0.5707060715442603,0.5529659577497303,0.5320513326937809,0.6109820254568246,0.2245199459819801,0.6722724527484721,0.6579373033903702,0.6982810149090799,0.15810520117344457,0.09068438047136254,0.19939461504269407
availability_90,-2.41621703547856,0.1255839460327629,0.12150113136226598,0.1238870236357646,0.15181943842663767,-1.0387330625689721,0.1805545765059743,0.1721952889075996,,0.05771995579052198,0.035598667907284894,0.06492514093069723
bathrooms,23.957241507802536,,,,,,,,,,,
bedrooms,-24.03835974257032,0.005043170296044978,0.0046370876117623,0.004664753510234612,0.004699968856080556,3.181012676649553,0.004935955994700162,0.004766677010067484,0.004940823787867042,0.002123056578042185,0.0018011294702725998,0.0023307859673756385
beds,14.080734559429937,0.006861621123945812,0.006746692876997185,0.0066059661748973115,0.00665306702516292,18.435892036210152,0.006932522464466521,0.0067166812414587275,0.006889098152167926,0.0018916419537360718,0.0014616866050273525,0.0026926220146969225
calculated_host_listings_count_private_rooms,14.796271804313927,0.00190504372446754,0.0014457199022136825,0.0018665506390987488,0.0017964325405463457,0.4157026896928261,0.0016400367430223653,0.0016268396883358206,0.0015897918812695212,0.0017065498799287175,0.0018057033097679644,1.0551517510970833e-05
calculated_host_listings_count_shared_rooms,,0.0006650334456323049,,,,0.013421721243280105,0.000522910265891189,0.000749154167992116,,,,
estimated_occupancy_l365d,,,,,,,,,,0.0020038808028809184,,
estimated_revenue_l365d,,,,,,,,,,0.3330526472756223,0.33402706556345657,0.33197283313493103
host_acceptance_rate,-0.4731182303635039,0.3038648652001606,0.2832802213987929,0.27963525513718873,0.2868826175167452,-0.7597424766375815,0.3008239376609478,0.29025317220471014,0.296161082666106,0.08972532409184897,0.0779542339473067,0.11849909133685782
host_is_superhost,16.563562535830354,0.00182537825962617,0.00162432865470162,0.0016101028121617035,0.0017128775386604691,-2.534997063191735,0.0019450677314588923,0.0018214728790396546,0.0018274813537142293,0.00011948620726351844,0.00010888803076824862,0.0004258519854069961
host_listings_count,-0.34928490037293686,0.04166503811203643,0.040298178533033135,0.037282320156607186,0.04325363930958876,0.2425601139922034,,,,,,0.01723994183438008
host_response_rate,1.0635639472340874,0.3103731873061143,0.28810939766889127,0.28415068459629544,0.29100466427644844,1.4397618300908783,0.306429377253645,0.2931028959025625,0.3012772511467601,0.09676395507149001,0.07932579415401804,0.11837297209927582
host_total_listings_count,,,,,,,0.049660629494029884,0.05301000203414802,0.044381690018774136,0.020364626005486938,0.018437835538030044,
instant_bookable,11.093680844771503,0.0016799021933941035,0.0015906288900812543,0.001509471386401597,0.0015492489933006278,-1.4065375160880895,0.0016321138602058323,0.001656218283159041,0.001698895245670371,0.0003513266772274603,0.00033785787160035217,0.0006149797328476639
minimum_nights,28.666411301469772,0.0054241790409384864,0.004893205822877079,0.0049179551621471385,0.004968041153797743,-0.9457981833339427,0.0051340280651134915,0.0050384290121822705,0.0051044788344683165,0.001161110361573913,0.0008035130037471244,0.002631204533527235
number_of_reviews,0.10003073290664699,0.2842879431443596,0.25423439427249983,0.25135782449859884,0.274377218901159,-0.12410063739458524,0.3235507270201732,0.317799277175832,0.31432289629011884,0.04826297308883057,0.048818372085662726,0.04889181036405208
number_of_reviews_l30d,8.275769837184205,0.00789727216688362,0.00921688562366998,0.00996900350029958,0.010865631703575861,0.3265568593808505,0.00853294479340622,0.004513286629717209,0.007742442323731714,1.532850082458499e-05,2.832023691648578e-05,2.3857291431055377e-05
number_of_reviews_ltm,-0.0018531807758933455,0.09484693146744481,0.083245158565227,0.08129720731406795,0.08803563886200667,-0.94702478982193,0.10093356564122428,0.09428692776077245,0.09754620087181666,,,
number_of_reviews_ly,,,,,,,,,,,0.00044340081681687476,0.001488436634485853
price,-0.052535990168430455,0.6301746091904116,0.6798927512158752,0.7003752462401939,0.6088583358255586,-0.20678916339374556,0.48034061651795623,0.5225864447154416,0.4895117271280543,0.17131907218172007,0.1113254307097504,0.15864400298406608
reviews_per_month,-10.232044633208703,0.009158064740894865,0.008612817342849926,0.00890880273729149,0.009561129236632618,11.304059890512562,0.01047440761318359,0.009333653021824128,0.010045458484284503,0.0006527889899227664,0.0006700160913944593,0.0005232397030507231
room_type_Hotel room,0.01783736194518158,2.078229517600953e-05,2.358983523425589e-05,2.5969400196156506e-05,3.481458411911523e-05,0.0008388575775851867,1.188432422479975e-05,3.305091917612277e-05,,1.603399667843618e-08,,0.00014947222854378144
room_type_Private room,0.8154870071795292,0.00037408131316817153,0.0003066678580453266,0.00035058690264811284,0.00034466438277924076,0.2706947944572619,0.00034068396111092613,0.0003084752456438125,0.0002922411546451326,1.2827197342748944e-06,1.5497719224656716e-06,1.7456554705650274e-06
room_type_Shared room,,3.463715862668255e-05,3.3699764620365555e-05,2.9215575220676068e-05,2.0888750471469135e-05,0.0005592383851022802,3.169153126613266e-05,3.6723243529025295e-05,3.896548728601768e-06,3.206799335687236e-08,3.689933148727789e-08,3.8792343790333946e-08
