,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504
accommodates,,0.04159779455669711,,,,,,,,,
availability_30,-0.03485865978255781,-0.03761189199043436,-0.017700215715312786,-0.026281435319664776,-0.010547111892153384,-0.014410023641618787,-0.005680858854161022,-0.006231517358701237,0.006271726703035573,0.007291991923601143,0.01709705679201399
availability_365,-0.0025413301212996327,-0.002030613718270625,-0.002652830695692728,-0.0023345896897093857,-0.0023290247469291074,-0.0021831619434111286,-0.0031917317766701784,-0.0019824588506027765,-0.0010286961591080218,-0.0013491398169014294,-0.0027429162108687246
availability_90,0.0060469750390207445,-0.0014501987445198258,-0.0008326532826616523,0.00338067857853795,,0.00023043738002948868,0.006627496900389984,,,,
bedrooms,0.16495009307221137,0.003930067373087432,0.17365085322755816,0.13314831266593496,0.09857089466657444,0.10982302566307159,0.08855947238597879,0.06555399797878474,-0.04584943549114728,-0.03106989230214947,-0.1312313686962084
calculated_host_listings_count_entire_homes,-0.016044789966709175,-0.020492154552754493,-0.020648069063507798,-0.0203242882975822,-0.012621143352247989,-0.011333832636476762,0.0027597181624058904,-0.018702485678369192,-0.008932310756173716,-0.03673426898974175,-0.0011447763971954637
calculated_host_listings_count_private_rooms,-0.05537092229303449,-0.06477171244901195,-0.08278105958486091,-0.07006308089036181,-0.05969660092436981,-0.02193996544802637,-0.0011558136159389176,-0.0597739562743444,0.025183551190361197,-0.12956160447554257,0.28522291567554725
estimated_occupancy_l365d,,,,,,,,,0.0041188280021494045,0.0019729575403372437,0.004743901186510688
host_is_superhost,0.2330267807896564,0.3169646311072674,0.16444095905433986,0.42272480357373754,0.47952750766252594,0.3595954170728967,0.45686364723917855,0.4031416596611924,-0.03471722178613217,-0.21421295402789065,0.08712383878320688
host_response_time,0.6148717703758834,0.6468438546730926,0.4188644180701112,0.29598365255321146,0.30274340171940134,0.28870669756492323,0.3024637280159754,0.517899212863851,0.7337003880534229,0.9266857331119907,0.2358018489517587
host_total_listings_count,-0.006283874343059982,-0.0013567854876483905,-0.00150773843790718,-0.0009523632083452252,-0.005261230187193742,-0.005417717268353637,-0.012146589728890057,,-0.007149886510778865,-0.004475066437824076,-0.008759739131384257
instant_bookable,0.27494339942704904,0.2723945697091013,0.2258392248110803,-0.02650601328405805,0.13277058145266712,-0.00810956917175384,-0.022445143780939803,0.026751205638607223,0.03869444777125274,-0.07667288052113688,-0.20161435060935226
minimum_nights,-0.013122669932174683,-0.014663648592365349,-0.01886000022197952,-0.03487002280119197,-0.029359468798268545,0.004171729194667182,0.10707145657503515,-0.007249266574262298,-0.03788512497735112,-0.0002463492235704101,-0.0039776208944478616
number_of_reviews,0.0009815766374054707,0.001774109132075631,0.0031192228238982093,-1.3518930405990282e-05,-0.0007807570760515984,0.000839912281277012,0.0010953068502819363,0.000646133804228458,7.000873371381557e-05,0.0011291621380989975,0.0006902611126514938
number_of_reviews_l30d,0.12274603290812597,0.0966162144781728,0.1684060537893256,0.11373436408869816,0.10993844400339316,0.02393706872264913,0.007816433239274194,-0.06362305289254226,-0.12463648412100338,-0.01311786596847838,-0.11668683700292747
number_of_reviews_ltm,0.006302011557102404,,,,,,,,,,
review_scores_accuracy,-0.16116802322419602,,0.18880348270659567,0.301910564723064,0.3917737224850792,,,,,,
review_scores_checkin,,,,,,-0.4165537728184113,-0.43297846624622816,-0.7735517258232354,,,
review_scores_cleanliness,0.5875029251492798,0.620314254745478,0.20539091134904663,0.2359178078721648,,0.3199724447463614,0.18026736175467056,0.34427715114519175,0.12620614427572963,0.11545145709549588,0.15362704550778222
review_scores_communication,,,,,,0.48308589901777105,0.18800901049247315,0.24415229767162644,,,-0.04015105053780568
review_scores_value,,-0.2759500884244321,,-0.126765680378036,,,0.3322906363491469,0.5704764140790497,0.23993625270759766,0.3041726156259891,0.33891907053388814
reviews_per_month,-0.013151488503591552,0.14846240745379824,,0.15353301182796325,0.20081115524575754,0.20004365148724454,0.20820169944483954,0.23510623953099702,,,0.07973607596545314
room_type_Hotel room,-3.0335502774026395,-3.0094827985134143,-2.361546971822428,11.300748752151428,-19.831780638492415,-3.5100930737252733,-3.2692270795219014,-2.600080075931618,-45.32987534461646,-1.4338281249549372,-3.0160301973636647
room_type_Private room,-0.4712203209994861,-0.5151062417808341,-0.23380856979443415,-0.8828840099090418,-1.1053030680493205,-0.8956852803440134,-1.0861705914750308,-0.7888758482783963,-0.9939572891698812,-1.2835238005380811,-1.6562213066713196
room_type_Shared room,-1.758605725219991,-0.7673257062634324,-0.44921574791795776,-1.6642936754121327,0.22381044491363955,0.330547559732527,4.395308108664729,5.647785485167957,5.0223042505837725,-36.47206219915454,-2.741449795871162
