log_price,logmul_review_scores_checkin,host_response_rate,number_of_reviews,availability_365,availability_30,has_availability,host_response_time,host_verifications,host_total_listings_count,host_has_profile_pic,host_acceptance_rate,number_of_reviews_l30d,beds,calculated_host_listings_count_private_rooms,instant_bookable,review_scores_cleanliness,host_identity_verified,host_is_superhost,minimum_nights,room_type_Private room,neighbourhood_cleansed_Downtown Eastside,neighbourhood_cleansed_Dunbar Southlands,neighbourhood_cleansed_Fairview,neighbourhood_cleansed_Grandview-Woodland,neighbourhood_cleansed_Hastings-Sunrise,neighbourhood_cleansed_Kensington-Cedar Cottage,neighbourhood_cleansed_Kerrisdale,neighbourhood_cleansed_Killarney,neighbourhood_cleansed_Kitsilano,neighbourhood_cleansed_Marpole,neighbourhood_cleansed_Mount Pleasant,neighbourhood_cleansed_Oakridge,neighbourhood_cleansed_Renfrew-Collingwood,neighbourhood_cleansed_Riley Park,neighbourhood_cleansed_Shaughnessy,neighbourhood_cleansed_South Cambie,neighbourhood_cleansed_Strathcona,neighbourhood_cleansed_Sunset,neighbourhood_cleansed_Victoria-Fraserview,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Point Grey,legal_listing
5.3706380281276624,7.606508438819445,100.0,476.0,108.0,4.0,1.0,1.0,0.5,1.0,1.0,98.0,4.0,1.0,0.0,0.0,4.81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5.0106352940962555,7.942972474054707,100.0,99.0,40.0,9.0,1.0,1.0,0.5,4.0,1.0,96.0,0.0,1.0,0.0,0.0,4.96,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.90527477843843,7.65804671900455,100.0,269.0,124.0,5.0,1.0,0.75,0.5,4.0,1.0,78.0,1.0,1.0,0.0,0.0,4.93,1.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.962844630259907,7.375616023251109,100.0,51.0,37.0,4.0,1.0,0.75,0.5,5.0,1.0,83.0,1.0,1.0,0.0,0.0,4.74,1.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.605170185988092,7.709667473650208,100.0,230.0,155.0,6.0,1.0,1.0,0.5,4.0,1.0,100.0,1.0,1.0,2.0,0.0,4.87,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.703782474656201,7.890984736127167,100.0,16.0,309.0,0.0,1.0,0.5,0.5,4.0,1.0,75.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.1298987149230735,7.735508672941472,100.0,43.0,243.0,3.0,1.0,0.75,0.75,15.0,1.0,93.0,1.0,2.0,0.0,0.0,4.74,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.844187086458591,6.793400162350787,100.0,87.0,0.0,0.0,1.0,1.0,0.5,9.0,1.0,98.0,0.0,2.0,1.0,0.0,4.44,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1647859739235145,7.96899660533943,100.0,126.0,248.0,2.0,1.0,1.0,0.5,2.0,1.0,98.0,1.0,2.0,0.0,0.0,4.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.8283137373023015,7.7872525050712476,100.0,568.0,268.0,4.0,1.0,0.5,0.5,1.0,1.0,85.0,5.0,1.0,0.0,0.0,4.83,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.159055299214529,7.401186935721112,100.0,34.0,135.0,0.0,1.0,0.75,0.75,15.0,1.0,93.0,0.0,2.0,0.0,0.0,4.81,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.480638923341991,8.047189562170502,100.0,40.0,365.0,30.0,1.0,1.0,0.5,2.0,1.0,33.0,0.0,2.0,0.0,0.0,4.92,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
